serial,metro,ownershp,taxincl,rent,hhincome,sex,age,birthqtr,marst,hispan,racamind,racasian,racblk,racwht,empstat,labforce,ftotinc,incwelfr,uhrswork,weight1
289652,4,1,0,0,30600,2,59,2,5,0,1,1,1,2,2,2,30600,0,40,0.5
289652,4,1,0,0,30600,1,20,4,6,3,1,1,1,2,3,1,30600,0,30,0.5
289652,4,1,0,0,30600,1,14,1,6,3,1,1,1,2,0,0,30600,99999,0,0.5
289654,4,1,2,0,94100,1,67,3,6,0,1,1,1,1,3,1,20900,0,0,0.5
289654,4,1,2,0,94100,2,53,3,4,0,1,1,1,1,1,2,60000,0,40,0.5
289654,4,1,2,0,94100,2,33,3,6,0,1,1,1,1,3,1,13200,0,0,0.5
289656,0,1,0,0,55000,1,53,1,1,0,1,1,1,2,1,2,55000,0,20,0.5
289656,0,1,0,0,55000,2,46,3,1,0,1,1,1,2,1,2,55000,0,30,0.5
289656,0,1,0,0,55000,2,20,3,2,0,1,1,1,2,1,2,55000,0,35,0.5
289657,4,1,2,0,71600,2,86,2,6,2,1,1,1,2,3,1,71600,0,0,0.5
289660,0,1,2,0,53400,1,25,4,1,0,1,1,1,2,1,2,53400,0,40,0.5
289660,0,1,2,0,53400,2,24,2,1,0,1,1,1,2,1,2,53400,0,40,0.5
289660,0,1,2,0,53400,1,0,1,6,0,1,1,1,2,0,0,53400,99999,0,0.5
289661,4,2,0,450,20000,1,31,1,6,0,1,1,2,1,1,2,20000,0,50,0.5
289662,4,1,0,0,52700,2,59,3,4,0,1,1,2,1,1,2,52700,0,40,0.5
289662,4,1,0,0,52700,1,44,2,6,0,1,1,2,1,3,1,52700,0,0,0.5
289662,4,1,0,0,52700,2,80,2,4,0,1,1,2,1,3,1,52700,0,0,0.5
289663,3,2,0,1700,54500,1,62,1,1,0,1,1,1,2,1,2,54500,0,55,0.5
289663,3,2,0,1700,54500,2,55,4,1,0,1,1,1,2,2,2,54500,0,35,0.5
289664,0,1,0,0,1300,2,74,3,5,0,1,1,1,2,3,1,1300,0,0,0.5
289665,3,2,0,1100,20000,2,32,2,6,0,1,1,2,1,1,2,20000,0,30,0.5
289665,3,2,0,1100,20000,1,13,4,6,0,1,1,2,1,0,0,20000,99999,0,0.5
289665,3,2,0,1100,20000,2,10,1,6,0,1,1,2,1,0,0,20000,99999,0,0.5
289665,3,2,0,1100,20000,1,2,2,6,0,1,1,2,1,0,0,20000,99999,0,0.5
289665,3,2,0,1100,20000,1,62,3,6,0,1,1,2,1,3,1,20000,0,0,0.5
289666,2,2,0,350,6000,1,33,2,6,0,1,1,2,1,1,2,6000,0,40,0.5
289667,0,1,0,0,50000,2,48,1,3,0,1,1,1,2,1,2,50000,0,40,0.5
289667,0,1,0,0,50000,2,10,4,6,4,1,2,2,2,0,0,50000,99999,0,0.5
289670,4,2,0,800,34800,2,30,2,6,0,1,1,2,1,2,2,34800,0,30,0.5
289670,4,2,0,800,34800,2,1,3,6,0,1,1,2,1,0,0,34800,99999,0,0.5
289672,3,1,0,0,27100,2,73,1,1,0,1,1,1,2,3,1,27100,0,0,0.5
289672,3,1,0,0,27100,1,71,4,1,0,1,1,1,2,3,1,27100,0,0,0.5
289674,3,1,1,0,220000,2,15,2,6,4,1,1,1,1,0,0,0,0,0,0.5
289679,0,1,0,0,41500,2,67,4,1,0,1,1,1,2,3,1,41500,0,0,0.5
289679,0,1,0,0,41500,1,68,1,1,0,1,1,1,2,3,1,41500,0,0,0.5
289680,0,2,0,400,10800,1,71,1,6,0,1,1,1,2,3,1,10800,0,0,0.5
289681,2,2,0,700,13000,1,41,4,6,0,1,1,2,1,1,2,13000,0,6,0.5
289682,4,1,1,0,109000,2,39,2,4,0,1,1,1,2,1,2,64000,14000,75,0.5
289682,4,1,1,0,109000,1,56,3,4,0,1,2,1,1,1,2,64000,5000,80,0.5
289683,0,1,1,0,60160,1,61,3,4,0,1,1,1,2,1,2,60160,0,40,0.5
289683,0,1,1,0,60160,1,30,3,4,0,1,1,1,2,3,1,60160,0,0,0.5
289684,2,2,0,1300,68300,2,36,1,3,0,1,1,1,2,1,2,50000,0,40,0.5
289684,2,2,0,1300,68300,1,46,3,4,0,1,1,1,2,3,1,50000,0,0,0.5
289684,2,2,0,1300,68300,1,45,1,3,0,1,1,1,2,1,2,12000,0,40,0.5
289685,3,2,0,230,9100,2,72,3,4,0,2,1,1,2,3,1,9100,0,0,0.5
289686,3,2,0,1400,102000,1,48,1,6,0,1,1,1,2,1,2,50000,0,50,0.5
289686,3,2,0,1400,102000,1,28,2,6,0,1,1,1,2,1,2,52000,0,50,0.5
289690,2,2,0,2000,151000,2,31,3,6,0,1,1,2,1,1,2,75000,0,40,0.5
289692,3,2,0,0,60000,1,45,3,4,0,1,1,2,1,1,2,30000,0,40,0.5
289692,3,2,0,0,60000,2,30,2,6,0,1,1,2,1,1,2,30000,0,40,0.5
289694,3,1,2,0,65000,1,58,1,6,0,1,1,1,2,1,2,65000,0,56,0.5
289695,4,1,0,0,29100,2,81,2,5,0,1,1,1,2,3,1,29100,0,0,0.5
289695,4,1,0,0,29100,2,59,3,4,0,1,1,1,2,1,2,29100,0,40,0.5
289696,0,2,0,350,21800,1,68,1,2,0,1,1,2,1,3,1,21800,0,0,0.5
289696,0,2,0,350,21800,2,35,4,4,0,1,1,2,1,1,2,21800,0,28,0.5
289696,0,2,0,350,21800,1,7,1,6,0,1,1,2,1,0,0,21800,99999,0,0.5
289696,0,2,0,350,21800,2,4,4,6,0,1,1,2,1,0,0,21800,99999,0,0.5
289697,3,1,2,0,55000,2,51,1,6,0,1,1,1,2,1,2,55000,0,40,0.5
289698,0,1,0,0,30000,1,58,4,4,0,1,1,2,1,1,2,30000,0,40,0.5
289698,0,1,0,0,30000,2,31,4,6,0,1,1,2,1,3,1,30000,0,0,0.5
289698,0,1,0,0,30000,2,6,4,6,0,1,1,2,1,0,0,30000,99999,0,0.5
289703,4,2,0,450,19700,2,32,1,6,0,1,1,1,2,1,2,15600,0,15,0.5
289703,4,2,0,450,19700,1,26,4,6,0,2,1,1,2,1,2,15600,0,26,0.5
289704,2,2,0,1200,71900,2,66,3,6,0,1,1,2,1,1,2,71900,0,40,0.5
289706,3,1,0,0,66900,2,83,2,5,0,1,1,1,2,3,1,66900,0,0,0.5
289706,3,1,0,0,66900,1,51,4,6,0,1,1,1,2,1,2,66900,0,40,0.5
